direction,doc_id,document_key,segment_index,document_selected_system,document_score,document_major_errors,document_annotated_segments,document_total_segments,selection_action,final_system,selected_score,selected_major_errors,final_score,final_major_errors,final_annotations
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01887,edu_###_edu01887,1,GPT 5.5,95.0,0,2,2,retain,GPT 5.5,90.0,0,90.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01889,edu_###_edu01889,0,GPT 5.5,100.0,0,1,1,retain,GPT 5.5,100.0,0,100.0,0,2
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01891,edu_###_edu01891,0,MakotoAI,100.0,0,1,1,retain,MakotoAI,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01893,edu_###_edu01893,0,UvA-MT,96.0,0,10,10,retain,UvA-MT,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01893,edu_###_edu01893,1,UvA-MT,96.0,0,10,10,retain,UvA-MT,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01893,edu_###_edu01893,2,UvA-MT,96.0,0,10,10,retain,UvA-MT,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01893,edu_###_edu01893,3,UvA-MT,96.0,0,10,10,retain,UvA-MT,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01893,edu_###_edu01893,4,UvA-MT,96.0,0,10,10,retain,UvA-MT,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01893,edu_###_edu01893,5,UvA-MT,96.0,0,10,10,retain,UvA-MT,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01893,edu_###_edu01893,6,UvA-MT,96.0,0,10,10,retain,UvA-MT,85.0,0,85.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01893,edu_###_edu01893,7,UvA-MT,96.0,0,10,10,retain,UvA-MT,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01893,edu_###_edu01893,8,UvA-MT,96.0,0,10,10,retain,UvA-MT,90.0,0,90.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01893,edu_###_edu01893,9,UvA-MT,96.0,0,10,10,retain,UvA-MT,90.0,0,90.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01895,edu_###_edu01895,0,UvA-MT,95.0,0,9,9,retain,UvA-MT,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01895,edu_###_edu01895,1,UvA-MT,95.0,0,9,9,retain,UvA-MT,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01895,edu_###_edu01895,2,UvA-MT,95.0,0,9,9,retain,UvA-MT,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01895,edu_###_edu01895,3,UvA-MT,95.0,0,9,9,retain,UvA-MT,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01895,edu_###_edu01895,4,UvA-MT,95.0,0,9,9,retain,UvA-MT,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01895,edu_###_edu01895,5,UvA-MT,95.0,0,9,9,retain,UvA-MT,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01895,edu_###_edu01895,6,UvA-MT,95.0,0,9,9,retain,UvA-MT,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01895,edu_###_edu01895,7,UvA-MT,95.0,0,9,9,retain,UvA-MT,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01895,edu_###_edu01895,8,UvA-MT,95.0,0,9,9,retain,UvA-MT,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01897,edu_###_edu01897,0,Dubformer,100.0,0,5,5,retain,Dubformer,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01897,edu_###_edu01897,1,Dubformer,100.0,0,5,5,retain,Dubformer,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01897,edu_###_edu01897,2,Dubformer,100.0,0,5,5,retain,Dubformer,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01897,edu_###_edu01897,3,Dubformer,100.0,0,5,5,retain,Dubformer,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01897,edu_###_edu01897,4,Dubformer,100.0,0,5,5,retain,Dubformer,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01919,edu_###_edu01919,0,Gemini 3.1 Pro,98.75,0,8,8,retain,Gemini 3.1 Pro,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01919,edu_###_edu01919,1,Gemini 3.1 Pro,98.75,0,8,8,retain,Gemini 3.1 Pro,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01919,edu_###_edu01919,2,Gemini 3.1 Pro,98.75,0,8,8,retain,Gemini 3.1 Pro,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01919,edu_###_edu01919,3,Gemini 3.1 Pro,98.75,0,8,8,retain,Gemini 3.1 Pro,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01919,edu_###_edu01919,4,Gemini 3.1 Pro,98.75,0,8,8,retain,Gemini 3.1 Pro,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01919,edu_###_edu01919,5,Gemini 3.1 Pro,98.75,0,8,8,retain,Gemini 3.1 Pro,90.0,0,90.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01919,edu_###_edu01919,6,Gemini 3.1 Pro,98.75,0,8,8,retain,Gemini 3.1 Pro,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01919,edu_###_edu01919,7,Gemini 3.1 Pro,98.75,0,8,8,retain,Gemini 3.1 Pro,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01921,edu_###_edu01921,0,TRIVE,96.42857142857143,0,7,7,retain,TRIVE,90.0,0,90.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01921,edu_###_edu01921,1,TRIVE,96.42857142857143,0,7,7,retain,TRIVE,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01921,edu_###_edu01921,2,TRIVE,96.42857142857143,0,7,7,retain,TRIVE,90.0,0,90.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01921,edu_###_edu01921,3,TRIVE,96.42857142857143,0,7,7,retain,TRIVE,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01921,edu_###_edu01921,4,TRIVE,96.42857142857143,0,7,7,retain,TRIVE,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01921,edu_###_edu01921,5,TRIVE,96.42857142857143,0,7,7,retain,TRIVE,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01921,edu_###_edu01921,6,TRIVE,96.42857142857143,0,7,7,retain,TRIVE,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01931,edu_###_edu01931,0,Dubformer,96.0,0,5,5,retain,Dubformer,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01931,edu_###_edu01931,1,Dubformer,96.0,0,5,5,retain,Dubformer,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01931,edu_###_edu01931,2,Dubformer,96.0,0,5,5,retain,Dubformer,90.0,0,90.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01931,edu_###_edu01931,3,Dubformer,96.0,0,5,5,retain,Dubformer,90.0,0,90.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01931,edu_###_edu01931,4,Dubformer,96.0,0,5,5,retain,Dubformer,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01933,edu_###_edu01933,0,TRIVE,100.0,0,2,2,retain,TRIVE,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01933,edu_###_edu01933,1,TRIVE,100.0,0,2,2,retain,TRIVE,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01937,edu_###_edu01937,0,DeepSeek V4 Pro,100.0,0,1,1,retain,DeepSeek V4 Pro,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01943,edu_###_edu01943,0,TRIVE,98.33333333333333,0,3,3,retain,TRIVE,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01943,edu_###_edu01943,1,TRIVE,98.33333333333333,0,3,3,retain,TRIVE,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01943,edu_###_edu01943,2,TRIVE,98.33333333333333,0,3,3,retain,TRIVE,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01947,edu_###_edu01947,0,MakotoAI,100.0,0,1,1,retain,MakotoAI,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01949,edu_###_edu01949,0,DeepSeek V4 Pro,100.0,0,1,1,retain,DeepSeek V4 Pro,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01951,edu_###_edu01951,0,GPT 5.5,100.0,0,1,1,retain,GPT 5.5,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01953,edu_###_edu01953,0,Gemini 3.1 Pro,100.0,0,2,2,retain,Gemini 3.1 Pro,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01953,edu_###_edu01953,1,Gemini 3.1 Pro,100.0,0,2,2,retain,Gemini 3.1 Pro,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01959,edu_###_edu01959,0,Gemini 3.1 Pro,92.5,0,1,1,retain,Gemini 3.1 Pro,92.5,0,92.5,0,2
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01963,edu_###_edu01963,0,MakotoAI,98.33333333333333,0,3,3,retain,MakotoAI,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01963,edu_###_edu01963,1,MakotoAI,98.33333333333333,0,3,3,retain,MakotoAI,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01963,edu_###_edu01963,2,MakotoAI,98.33333333333333,0,3,3,retain,MakotoAI,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01965,edu_###_edu01965,0,Gemini 3.1 Pro,95.0,0,2,2,retain,Gemini 3.1 Pro,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01965,edu_###_edu01965,1,Gemini 3.1 Pro,95.0,0,2,2,retain,Gemini 3.1 Pro,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01967,edu_###_edu01967,0,GPT 5.5,92.5,0,2,2,retain,GPT 5.5,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01967,edu_###_edu01967,1,GPT 5.5,92.5,0,2,2,retain,GPT 5.5,90.0,0,90.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01969,edu_###_edu01969,0,Lumen,95.0,0,7,7,retain,Lumen,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01969,edu_###_edu01969,1,Lumen,95.0,0,7,7,retain,Lumen,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01969,edu_###_edu01969,2,Lumen,95.0,0,7,7,retain,Lumen,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01969,edu_###_edu01969,3,Lumen,95.0,0,7,7,retain,Lumen,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01969,edu_###_edu01969,4,Lumen,95.0,0,7,7,retain,Lumen,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01969,edu_###_edu01969,5,Lumen,95.0,0,7,7,retain,Lumen,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu01969,edu_###_edu01969,6,Lumen,95.0,0,7,7,retain,Lumen,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02175,edu_###_edu02175,0,Dubformer,95.0,0,1,1,retain,Dubformer,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02177,edu_###_edu02177,0,DeepSeek V4 Pro,92.5,0,4,4,retain,DeepSeek V4 Pro,90.0,0,90.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02177,edu_###_edu02177,1,DeepSeek V4 Pro,92.5,0,4,4,retain,DeepSeek V4 Pro,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02177,edu_###_edu02177,2,DeepSeek V4 Pro,92.5,0,4,4,retain,DeepSeek V4 Pro,85.0,0,85.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02177,edu_###_edu02177,3,DeepSeek V4 Pro,92.5,0,4,4,retain,DeepSeek V4 Pro,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02179,edu_###_edu02179,0,GPT 5.5,100.0,0,1,1,retain,GPT 5.5,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02185,edu_###_edu02185,0,GPT 5.5,100.0,0,1,1,retain,GPT 5.5,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02187,edu_###_edu02187,0,DeepSeek V4 Pro,100.0,0,1,1,retain,DeepSeek V4 Pro,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02189,edu_###_edu02189,0,Gemini 3.1 Pro,90.0,0,1,1,retain,Gemini 3.1 Pro,90.0,0,90.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02193,edu_###_edu02193,0,Gemini 3.1 Pro,100.0,0,2,2,retain,Gemini 3.1 Pro,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02193,edu_###_edu02193,1,Gemini 3.1 Pro,100.0,0,2,2,retain,Gemini 3.1 Pro,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02195,edu_###_edu02195,0,TRIVE,95.55555555555556,0.1111111111111111,9,9,retain,TRIVE,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02195,edu_###_edu02195,1,TRIVE,95.55555555555556,0.1111111111111111,9,9,retain,TRIVE,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02195,edu_###_edu02195,2,TRIVE,95.55555555555556,0.1111111111111111,9,9,retain,TRIVE,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02195,edu_###_edu02195,3,TRIVE,95.55555555555556,0.1111111111111111,9,9,retain,TRIVE,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02195,edu_###_edu02195,4,TRIVE,95.55555555555556,0.1111111111111111,9,9,retain,TRIVE,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02195,edu_###_edu02195,5,TRIVE,95.55555555555556,0.1111111111111111,9,9,retain,TRIVE,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02195,edu_###_edu02195,6,TRIVE,95.55555555555556,0.1111111111111111,9,9,replaced,GPT 5.5,90.0,1,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02195,edu_###_edu02195,7,TRIVE,95.55555555555556,0.1111111111111111,9,9,retain,TRIVE,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02195,edu_###_edu02195,8,TRIVE,95.55555555555556,0.1111111111111111,9,9,retain,TRIVE,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02197,edu_###_edu02197,0,GPT 5.5,100.0,0,1,1,retain,GPT 5.5,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02199,edu_###_edu02199,0,TRIVE,90.0,0,8,8,retain,TRIVE,80.0,0,80.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02199,edu_###_edu02199,1,TRIVE,90.0,0,8,8,replaced,GPT 5.5,65.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02199,edu_###_edu02199,2,TRIVE,90.0,0,8,8,retain,TRIVE,90.0,0,90.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02199,edu_###_edu02199,3,TRIVE,90.0,0,8,8,retain,TRIVE,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02199,edu_###_edu02199,4,TRIVE,90.0,0,8,8,retain,TRIVE,85.0,0,85.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02199,edu_###_edu02199,5,TRIVE,90.0,0,8,8,retain,TRIVE,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02199,edu_###_edu02199,6,TRIVE,90.0,0,8,8,retain,TRIVE,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02199,edu_###_edu02199,7,TRIVE,90.0,0,8,8,retain,TRIVE,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02201,edu_###_edu02201,0,Qingqiu-MT-9B,100.0,0,1,1,retain,Qingqiu-MT-9B,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu02993,edu_###_edu02993,0,Gemini 3.1 Pro,100.0,0,1,1,retain,Gemini 3.1 Pro,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu03231,edu_###_edu03231,0,Gemini 3.1 Pro,100.0,0,1,1,retain,Gemini 3.1 Pro,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu03253,edu_###_edu03253,0,GPT 5.5,100.0,0,1,1,retain,GPT 5.5,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu03255,edu_###_edu03255,0,Lumen,98.33333333333333,0,3,3,retain,Lumen,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu03255,edu_###_edu03255,1,Lumen,98.33333333333333,0,3,3,retain,Lumen,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu03255,edu_###_edu03255,2,Lumen,98.33333333333333,0,3,3,retain,Lumen,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu03619,edu_###_edu03619,0,Cohere CAT+,100.0,0,2,2,retain,Cohere CAT+,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu03619,edu_###_edu03619,1,Cohere CAT+,100.0,0,2,2,retain,Cohere CAT+,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu03621,edu_###_edu03621,0,UvA-MT,100.0,0,1,1,retain,UvA-MT,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu03623,edu_###_edu03623,0,DeepSeek V4 Pro,95.0,0,1,1,retain,DeepSeek V4 Pro,95.0,0,95.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu03627,edu_###_edu03627,0,CUNI-EdUKate,100.0,0,1,1,retain,CUNI-EdUKate,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu03629,edu_###_edu03629,0,DeepSeek V4 Pro,100.0,0,2,2,retain,DeepSeek V4 Pro,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_edu_###_ces_Latn_###_deu_Latn_###_edu03629,edu_###_edu03629,1,DeepSeek V4 Pro,100.0,0,2,2,retain,DeepSeek V4 Pro,100.0,0,100.0,0,1
ces_Latn---deu_Latn,WMT26_###_factchecking_###_ces_Latn_###_deu_Latn_###_23759,factchecking_###_23759,0,Gemini 3.1 Pro,98.75,0,4,4,retain,Gemini 3.1 Pro,95.0,0,95.0,0,1
